model,level,acc,ci_lo,ci_hi,parse_fail,refusal,acc_parsed_only
exaone3.5,1,0.9303333333333333,0.921,0.9393333333333334,0.0,0.0,0.9303333333333333
exaone3.5,2,0.9286666666666666,0.9193333333333333,0.9376666666666666,0.0,0.0,0.9286666666666666
exaone3.5,3,0.85,0.8373333333333334,0.8626666666666667,0.0,0.0006666666666666666,0.85
exaone3.5,4,0.9256666666666666,0.9163333333333333,0.935,0.0003333333333332966,0.0003333333333333333,0.9259753251083694
exaone3.5,5,0.9263333333333333,0.917,0.9356666666666666,0.0,0.0,0.9263333333333333
exaone3.5,6,0.928,0.9186666666666666,0.9373333333333334,0.0,0.0,0.928
qwen3,1,0.8816666666666667,0.87,0.893,0.0,0.0,0.8816666666666667
qwen3,2,0.89,0.8783333333333333,0.9006666666666666,0.0,0.0,0.89
qwen3,3,0.8676666666666667,0.855325,0.8796666666666667,0.0,0.0,0.8676666666666667
qwen3,4,0.876,0.864,0.8876666666666667,0.0,0.0,0.876
qwen3,5,0.8743333333333333,0.8623333333333333,0.886,0.0,0.0,0.8743333333333333
qwen3,6,0.878,0.866,0.8893333333333333,0.0,0.0,0.878
llama3.1,1,0.8043333333333333,0.7903333333333333,0.8186666666666667,0.0006666666666667043,0.0003333333333333333,0.804869913275517
llama3.1,2,0.813,0.799,0.827,0.0006666666666667043,0.0003333333333333333,0.813542361574383
llama3.1,3,0.7766666666666666,0.7616666666666667,0.7913333333333333,0.0006666666666667043,0.0006666666666666666,0.7771847898599066
llama3.1,4,0.8093333333333333,0.7953333333333333,0.8233333333333334,0.0,0.0,0.8093333333333333
llama3.1,5,0.809,0.795,0.823,0.0006666666666667043,0.0006666666666666666,0.8095396931287525
llama3.1,6,0.7986666666666666,0.7843333333333333,0.813,0.0006666666666667043,0.0003333333333333333,0.7991994663108739
