model,level,acc,ci_lo,ci_hi,parse_fail,refusal,acc_parsed_only
exaone3.5,1,0.8823333333333333,0.8706666666666667,0.894,0.01733333333333331,0.0006666666666666666,0.8978968792401628
exaone3.5,2,0.8826666666666667,0.871,0.894,0.013333333333333308,0.0006666666666666666,0.8945945945945946
exaone3.5,3,0.8606666666666667,0.848,0.873,0.04166666666666663,0.001,0.8980869565217391
exaone3.5,4,0.8653333333333333,0.8526666666666667,0.8773333333333333,0.03366666666666662,0.0006666666666666666,0.8954812004139359
exaone3.5,5,0.8776666666666667,0.8656666666666667,0.8893333333333333,0.02533333333333332,0.0003333333333333333,0.9004787961696307
exaone3.5,6,0.8766666666666667,0.8646666666666667,0.8883333333333333,0.023666666666666614,0.0003333333333333333,0.8979173779446911
qwen3,1,0.8576666666666667,0.845,0.8703333333333333,0.0,0.0,0.8576666666666667
qwen3,2,0.852,0.839,0.8646749999999999,0.0003333333333332966,0.0,0.8522840946982327
qwen3,3,0.853,0.8403333333333334,0.8656666666666667,0.01533333333333331,0.0006666666666666666,0.8662830060934327
qwen3,4,0.8556666666666667,0.843,0.8683333333333333,0.0,0.0,0.8556666666666667
qwen3,5,0.851,0.8383333333333334,0.8636666666666667,0.0,0.0,0.851
qwen3,6,0.856,0.8433333333333334,0.8686666666666667,0.0,0.0,0.856
llama3.1,1,0.8626666666666667,0.8503333333333334,0.8746666666666667,0.0016666666666667052,0.0,0.8641068447412354
llama3.1,2,0.8456666666666667,0.8326666666666667,0.8586666666666667,0.0006666666666667043,0.0,0.8462308205470314
llama3.1,3,0.853,0.8403333333333334,0.8656666666666667,0.0023333333333332984,0.0,0.8549949883060475
llama3.1,4,0.856,0.8436666666666667,0.8686666666666667,0.0013333333333332975,0.0,0.8571428571428571
llama3.1,5,0.8593333333333333,0.847,0.8716666666666667,0.0020000000000000018,0.0,0.8610554442217769
llama3.1,6,0.8603333333333333,0.848,0.8723333333333333,0.0010000000000000009,0.0,0.8611945278611945
