model,level,rouge_l,eojeol,distinct1,distinct2,ttr
exaone3.5,1,0.2937,47.44,0.6872,0.9301,0.6872
exaone3.5,2,0.2952,46.8033,0.6935,0.9333,0.6935
exaone3.5,3,0.2915,47.7167,0.6869,0.9289,0.6869
exaone3.5,4,0.2905,47.9833,0.6862,0.929,0.6862
exaone3.5,5,0.2915,46.7067,0.6903,0.929,0.6903
exaone3.5,6,0.2889,47.1267,0.6902,0.9313,0.6902
llama3.1,1,0.3546,42.2933,0.6928,0.9163,0.6928
llama3.1,2,0.3623,39.7467,0.7084,0.9226,0.7084
llama3.1,3,0.3633,44.1,0.6917,0.9152,0.6917
llama3.1,4,0.3603,39.8033,0.7118,0.9227,0.7118
llama3.1,5,0.3588,43.6333,0.6908,0.9181,0.6908
llama3.1,6,0.3652,43.4067,0.6942,0.9177,0.6942
qwen3,1,0.3007,33.6367,0.7309,0.9366,0.7309
qwen3,2,0.2959,31.7767,0.7476,0.9407,0.7476
qwen3,3,0.2957,32.43,0.7385,0.9371,0.7385
qwen3,4,0.2995,34.41,0.7285,0.9353,0.7285
qwen3,5,0.2999,34.3567,0.7276,0.9357,0.7276
qwen3,6,0.3021,34.0433,0.7286,0.9352,0.7286
